epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6118,1.85455,4.19339,0.95649,0.00437,0.42971,0.00628,0.00235,1.65234,4.12918,0.88697,0.000652174,0.000652174,0.000652174
2,42.7191,1.60581,2.52308,0.90327,0.03565,0.86741,0.57794,0.29821,1.66913,3.06213,0.91089,0.00118828,0.00118828,0.00118828
3,50.9929,1.57975,1.99825,0.88393,0.72255,0.70767,0.75086,0.37815,1.5418,1.34151,0.89113,0.00159238,0.00159238,0.00159238
4,59.0639,1.46848,1.62231,0.88058,0.82016,0.78681,0.86042,0.45631,1.47165,1.003,0.87076,0.001406,0.001406,0.001406
5,67.4027,1.40785,1.42179,0.86916,0.81264,0.81629,0.8753,0.49334,1.31769,0.87861,0.85856,0.001208,0.001208,0.001208
6,75.641,1.37606,1.27457,0.88313,0.8524,0.86422,0.90132,0.50233,1.33845,0.88578,0.86058,0.00101,0.00101,0.00101
7,84.1945,1.28368,1.08664,0.85021,0.7911,0.83485,0.86848,0.52252,1.29266,0.81387,0.86082,0.000812,0.000812,0.000812
8,92.3597,1.3062,1.10986,0.85977,0.79176,0.89891,0.8953,0.53744,1.26889,0.74568,0.86638,0.000614,0.000614,0.000614
9,100.572,1.22752,0.94709,0.85447,0.79937,0.85288,0.88953,0.542,1.2283,0.70528,0.85654,0.000416,0.000416,0.000416
10,108.549,1.17541,0.92071,0.84463,0.81365,0.89978,0.90619,0.5702,1.16491,0.66244,0.85273,0.000218,0.000218,0.000218
